ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units,kgPin/year,Crystalactor kgPrec/year,Crystalactor EUR/kgPrec,Ostara Pearl kgPrec/year,Ostara Pearl EUR/kgPrec,P RoC kgPrec/year,P RoC EUR/kgPrec,REMNUT kgPrec/year,REMNUT EUR/kgPrec,AirPrex kgPrec/year,AirPrex EUR/kgPrec,PRISA kgPrec/year,PRISA EUR/kgPrec
23246,City of Dryden,WasteWater Plant,Dryden,ON,49.7955,-92.851,operational,3560.0,Kenora,1246.302,2502.918,2157.503,1559.837,1410.095,1286.229,1552.525,thousand m3,702.7183091703648,267.03295748473863,78.75540797199331,140.54366183407296,181.76074734536073,189.7339434759985,11.622123733232446,330.27760531007146,41.58080758947116,105.40774637555472,125.48856493567159,126.48929565066567,209.97703800601187
23247,The Corporation of the Town of Cochrane,Cochrane WWTP,Cochrane,ON,49.0716,-81.0255,operational,3556.0,Cochrane,896.427,938.485,796.542,733.106,697.325,619.3773,501.141,thousand m3,226.83110170589575,86.19581864824039,125.20527863999529,45.36622034117915,374.79211596777253,61.244397460591856,14.904684984956326,106.610617801771,44.49975706193054,34.02466525588436,252.97227496557323,40.82959830706123,400.02455000642334
23248,The Corporation of the Township of North Huron,Blyth STP,Blyth,ON,43.7424,-81.4309,operational,3540.0,Huron,174.352,169.839,139.476,143.585,137.0115,150.618,148.461,thousand m3,67.19779900339225,25.535163621289055,206.17933573700046,13.43955980067845,816.4561805589458,18.14340573091591,19.47866835537799,31.582965531594354,47.869456129904755,10.079669850508838,537.8341935882362,12.095603820610604,800.2851365742372
23249,The Corporation of the Township of North Huron,Wingham STP,Wingham,ON,43.8772,-81.3289,operational,3540.0,Huron,881.818,874.898,379.457,571.886,870.148,819.731,786.3140000000001,thousand m3,355.9087580277202,135.24532805053366,104.09068083476956,71.18175160554404,280.92045291701896,96.09536466748446,13.49841777765209,167.27711627302847,43.31312069928356,53.38631370415803,191.32801295770992,64.06357644498964,309.4383123342193
23255,Correctional Service Canada,ON REGION - Joyceville Pittsburgh Institution,Joyceville,ON,44.3616,-76.3523,operational,3510.0,Frontenac,215.1409,221.5198,179.8042,238.6141,269.7392,250.4977,254.122,thousand m3,115.02306382376545,43.70876425303087,165.40128680845996,23.00461276475309,578.8123057248632,31.056227232416674,17.306318379577597,54.06083999716976,46.35031609787872,17.253459573564818,385.40902672672075,20.70415148827778,589.1009425162121
23256,Correctional Service Canada,ON REGION - Warkworth Institution Wastewater Treatment System,Warkworth,ON,44.2085,-77.8014,operational,3514.0,Northumberland,235.419,151.9678,156.21730000000002,133.98,135.2279,121.8683,122.2615,thousand m3,55.33913757049488,21.028872276788054,223.26334512186534,11.067827514098976,924.4839686708964,14.941567144033618,20.32873005594269,26.009394658132592,48.43037735684035,8.300870635574231,606.6363919642896,9.961044762689077,893.9406126631385
23276,Regional Municipality of Peel,G.E. Booth Wastewater Treatment Plant,Mississauga,ON,43.5788,-79.5435,operational,3521.0,Peel,172002.708,166861.989,113324.697,119324.722,162508.104,172844.514,171214.2869,thousand m3,77496.60340167001,29448.709292634605,11.451300515300657,15499.320680334004,8.959818336943401,20924.082918450906,4.129858644133133,36423.403598784906,31.357601455204914,11624.490510250502,6.79599867265443,13949.388612300601,14.386197151291054
23277,Regional Municipality of Peel,Inglewood Wastewater Treatment Facility,Inglewood,ON,43.7973,-79.9347,operational,3521.0,Peel,38.807,38.4489,32.905,31.793,37.5684,36.3423,34.82,thousand m3,15.76055234235333,5.989009890094265,373.6426281132123,3.1521104684706662,2065.3534974986387,4.255349132435399,26.798572366470186,7.407459600906065,52.2210392123785,2.3640828513529994,1321.643276090622,2.8368994216235994,1829.032453124378
23278,Regional Municipality of Peel,Clarkson Wastewater Treatment Plant,Mississauga,ON,43.4958,-79.6204,operational,3521.0,Peel,56663.635,60429.101,50296.407,54076.338,68496.662,69784.6661,83183.2493,thousand m3,37651.17618034681,14307.446948531788,15.395418585420437,7530.235236069362,14.221383288336591,10165.81756869364,4.840676874348992,17696.052804763,32.74560986693074,5647.676427052022,10.632266167049984,6777.211712462426,21.709176842630686
23299,The Corporation of The Township of Nipigon,Nipigon WWTP,Nipigon,ON,49.0052,-88.2596,operational,3558.0,Thunder Bay,263.1015,375.5642,346.5131,288.2267,253.2506,272.7139,330.201,thousand m3,149.45864859268846,56.79428646522162,148.5617734079933,29.891729718537693,489.49317329148937,40.353835120025884,16.337392493163005,70.24556483856357,45.62769534418958,22.418797288903267,327.64646601678515,26.90255674668392,507.4112938931743
23308,Haldimand County,Caledonia WWTP,Caledonia,ON,43.0681,-79.9457,operational,3528.0,Haldimand-Norfolk,1230.257,1193.858,1047.905,1238.3490000000002,1268.764,1307.639,1407.104,thousand m3,636.896503249131,242.02067123466978,81.99596313232504,127.3793006498262,193.5691035143068,171.96205587726539,11.87632910431253,299.34135652709153,41.826898675913526,95.53447548736965,133.37850452822732,114.64137058484357,222.08430926841385
23309,Haldimand County,Cayuga WWTP,Cayuga,ON,43.0679,-79.9456,operational,3528.0,Haldimand-Norfolk,266.8994,260.808,236.241,225.003,284.987,290.978,312.432,thousand m3,141.41587850161216,53.73803383061262,151.96950674732858,28.28317570032243,507.1323083863104,38.182287195435286,16.537420724280913,66.46546289575771,45.77937989292201,21.212381775241823,339.07804514105277,25.454858130290187,523.6645421184171
23310,Haldimand County,Dunnville WWTP,Dunnville,ON,42.9007,-79.607,operational,3528.0,Haldimand-Norfolk,2914.112,1525.728,1406.333,1288.421,1622.856,1642.343,1848.192,thousand m3,836.5458574014556,317.88742581255315,73.32294622590125,167.30917148029113,162.57234496624397,225.86738149839303,11.184836200933349,393.1765529786841,41.148159158648724,125.48187861021833,112.63280317982687,150.578254332262,190.11569406788635
23311,Haldimand County,Hagersville WWTP,Hagersville,ON,42.9474,-80.0654,operational,3528.0,Haldimand-Norfolk,1003.273,1046.306,946.499,767.315,992.776,944.735,1191.206,thousand m3,539.1747419162934,204.8864019281915,87.79132321874134,107.83494838325869,215.34421378322102,145.57718031739924,12.319607609502052,253.41212870065792,42.247014504624715,80.87621128744401,147.88912023843253,97.05145354493281,244.20316664653294
