ID_WSER,Owner Name,System Name,City,Province,Latitude,Longitude,System status,CDUID,CDNAME,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Units
24331,Township of St. Clair,Brigden Lagoons,Brigden,ON,42.809,-82.303,operational,3538,Lambton,111.617,86.83800000000001,43.829,82.755,0.0,122.017,72.212,thousand m3
24341,The Corporation of the Municipality of Kincardine,Bruce Energy Centre Lagoon System,Kincardine,ON,44.303,-81.5799,operational,3541,Bruce,249.293,290.447,334.402,256.329,293.758,256.24,300.122,thousand m3
24343,The Corporation of the Municipality of Kincardine,Kincardine Wastewater Lagoon System,Kincardine,ON,44.1576,-81.6397,operational,3541,Bruce,971.5,1044.5810000000001,833.943,890.3290000000001,1099.752,1111.004,1135.261,thousand m3
24345,Town of Petrolia,Petrolia WPCP,Petrolia,ON,42.8676,-82.1562,operational,3538,Lambton,532.4177000000001,395.27750000000003,577.694,634.5640000000001,505.559,650.4870000000001,665.277,thousand m3
24495,Creg Quay,Creg Quay Limited,Bainsville,ON,45.1708,-74.4292,operational,3501,"Stormont, Dundas and Glengarry",23.056,,,,,,,thousand m3
24619,The Corporation of The Nation Municipality,Limoges Lagoon,Casselman,ON,45.2913,-75.1959,operational,3502,Prescott and Russell,655.718,618.818,483.028,530.85,789.974,488.178,407.88100000000003,thousand m3
24620,The Corporation of The Nation Municipality,St Albert Lagoon,St Albert,ON,45.234,-75.1377,operational,3501,"Stormont, Dundas and Glengarry",141.525,88.842,90.895,169.941,142.137,247.201,214.341,thousand m3
24621,The Corporation of The Nation Municipality,St Isidore Lagoon,St Isidore,ON,45.3914,-74.9399,operational,3502,Prescott and Russell,187.92000000000002,231.612,157.296,197.66400000000002,193.488,311.439,277.008,thousand m3
24749,The Corporation of the Township of Clearview,Creemore Waste Water Treatment Plant,Creemore,ON,44.3205,-80.0966,operational,3543,Simcoe,146.32600000000002,157.345,129.832,130.622,124.112,149.45800000000003,138.148,thousand m3
24751,The Corporation of the Township of Clearview,Stayner Waste Water Treatment Plant,Stayner,ON,44.4319,-80.0854,operational,3543,Simcoe,630.394,556.309,439.0,381.851,484.08500000000004,358.91,587.5020000000001,thousand m3
25227,Municipality of Strathroy-Caradoc,Strathroy WPCP,Strathroy,ON,42.9513,-81.6525,operational,3539,Middlesex,2114.462,1588.609,1438.07,1874.676,1920.636,1919.5790000000002,1867.175,thousand m3
25228,Municipality of Strathroy-Caradoc,Mount Brydges WPCP,Mount Brydges,ON,42.542,-81.2812,operational,,,,,,,45.011,61.344,73.333,thousand m3
25231,Nibinamik First Nation,Nibinamik Wastewater System,Nibinamik,ON,52.7361,-88.5036,operational,3560,Kenora,,,,,,,,thousand m3
25306,Seine river first nation,Seine River First Nation,Mine Center,ON,48.7191,-92.4295,operational,3559,Rainy River,65.0,4.0963,2.4192,2.5191999999999997,2.5774000000000004,2.5191999999999997,2.4303000000000003,thousand m3
25339,Naicatchewenin First Nation,Northwest Bay Sewage Lagoon,Devlin,ON,48.8472,-93.5897,operational,3559,Rainy River,15.318,39.009,13.888,25.7955,15.93,24.917,18.6675,thousand m3
25353,Neskantaga Wastewater System,Sewage System,Neskantaga,ON,52.1943,-88.0419,operational,3560,Kenora,,,,,,,,thousand m3
25355,Municipality of the Town of Perth,Perth Sewage Treatment Lagoons,Perth,ON,44.8923,-76.2154,operational,3509,Lanark,2184.0551,2820.6904000000004,2134.9238,1925.0663,2848.7149,2318.0904,2567.9114,thousand m3
25356,Municipality Of South Dundas,Williamsburg Lagoon,Williamsburg,ON,44.9756,-75.2525,operational,3501,"Stormont, Dundas and Glengarry",33.353,51.889,40.0466,48.641,75.223,17.708000000000002,22.354,thousand m3
25357,Municipality Of South Dundas,Morrisburg Wastewater Treatment Plant,Morrisburg,ON,44.8998,-75.1681,operational,3501,"Stormont, Dundas and Glengarry",775.703,635.1694,749.33,728.573,1086.352,770.483,809.702,thousand m3
25358,Municipality Of South Dundas,Iroquois Wastewater Treatment Plant,Iroquois,ON,44.8494,-75.3021,operational,3501,"Stormont, Dundas and Glengarry",1024.497,1008.129,494.77610000000004,713.2620000000001,1073.5084,704.357,654.902,thousand m3
25360,Township of Tay,Port McNicoll Wastewater Treatment Plant,Port McNicoll,ON,44.7544,-79.8059,operational,3543,Simcoe,346.952,485.98,416.73,451.68,505.09000000000003,446.442,443.092,thousand m3
25361,Township of Tay,Victoria Harbour Wastewater Treatment Plant,Victoria Harbour,ON,44.7549,-79.7612,operational,3543,Simcoe,710.543,800.3507,605.4667,618.9914,675.2645,730.0484,833.241,thousand m3
25362,Town of Arnprior,Arnprior WPCC,Arnprior,ON,45.4374,-76.3494,operational,3547,Renfrew,2551.042,2202.185,2032.491,2115.707,2774.776,1914.946,1616.304,thousand m3
25363,Municipality Of Brighton,Brighton WPCP,Brighton,ON,44.0322,-77.7214,operational,3514,Northumberland,1170.078,1251.267,1024.4750000000001,998.029,1475.486,1161.279,1029.037,thousand m3
25365,Township of Severn,West Shore WWTP,Orillia,ON,44.7032,-79.3956,operational,3543,Simcoe,201.704,255.584,221.88600000000002,272.85900000000004,239.322,349.43600000000004,295.51,thousand m3
25366,Township of Severn,Washago Lagoon,Washago,ON,44.7652,-79.3384,operational,3543,Simcoe,,89.57000000000001,,,,,,thousand m3
25369,The Corporation of The Town of Hanover,Hanover Water Pollution Control Plant,Hanover,ON,44.1562,-81.0368,operational,3542,Grey,1420.989,2051.449,1789.001,1622.653,2116.719,2047.9460000000001,1931.603,thousand m3
25506,The Town of Gananoque,Gananoque Sewage Lagoons,Leeds and Thousand Islands,ON,44.3333,-76.1475,operational,3507,Leeds and Grenville,1357.383,1633.0430000000001,1149.5030000000002,1129.868,1682.808,1384.874,1626.133,thousand m3
25621,The Corporation of the Township of Emo,Emo Wastewater Facility,Emo,ON,48.6378,-93.8427,operational,3559,Rainy River,160.228,140.112,133.349,83.76,0.17300000000000001,72.581,192.624,thousand m3
25626,City of Sarnia,Bright's Grove Sewage Lagoon,Bright's Grove,ON,43.0258,-82.2412,operational,3538,Lambton,633.4350000000001,530.145,540.327,407.52,609.835,612.696,515.541,thousand m3
25709,M'Chigeeng First Nation,Lakeview,M'Chigeeng,ON,45.7877,-82.1549,operational,3551,Manitoulin,0.0,45.018,45.018,90.036,90.036,90.036,0.09,thousand m3
25710,M'Chigeeng First Nation,M'Chigeeng Village,M'Chigeeng,ON,45.8362,-82.165,operational,3551,Manitoulin,0.0,0.0,19.0,38.0,38.0,38.0,0.038,thousand m3
25733,The Corporation of The Township of Red Rock,Red Rock Wastewater Plant,Red Rock,ON,48.9414,-88.2521,operational,3558,Thunder Bay,183.05300000000003,204.39530000000002,225.98600000000002,185.936,167.238,97.6974,135.501,thousand m3
25734,The Municipality of Dutton Dunwich,Dutton Sewage Treatment Plant,Dutton,ON,42.6561,-81.5165,operational,3534,Elgin,122.797,108.959,108.914,114.184,123.617,150.339,149.562,thousand m3
25748,Corporation of the Township of Russell,Embrun Sewage Lagoon,Embrun,ON,45.2758,-75.2387,operational,3502,Prescott and Russell,616.914,619.59,351.69100000000003,650.74,1100.393,633.149,754.318,thousand m3
25749,Corporation of the Township of Russell,Russell Sewage Lagoon,Russell,ON,45.2621,-75.3267,operational,3502,Prescott and Russell,308.98900000000003,302.503,201.078,280.971,492.24,425.66700000000003,311.856,thousand m3
25754,Corporation of the Town of Midland,Midland Waste Water Operations,Midland,ON,44.7575,-79.8745,operational,3543,Simcoe,3.2503,3360.79,3124.36,1460.0908,1552.8841,774.4974,2984.5992,thousand m3
25765,Corporation of the Town of Iroquois Falls,Iroquois Falls Sewage Treatment Plant,Iroquois Falls,ON,48.7726,-80.6694,operational,3556,Cochrane,816.0600000000001,1125.303,974.1690000000001,854.7040000000001,905.2930000000001,746.2570000000001,761.255,thousand m3
25768,Corporation of the Town of Iroquois Falls,Porquis Lagoon,Iroquois Falls,ON,48.703,-80.7795,operational,3556,Cochrane,,,,,,,,thousand m3
25786,Corporation of the Township of South Stormont,Ingleside Waste Water Treatment Plant,Ingleside,ON,44.9961,-74.9706,operational,3501,"Stormont, Dundas and Glengarry",1429.342,1419.163,1270.5900000000001,1274.902,1514.284,1399.652,1545.091,thousand m3
25787,Corporation of the Township of South Stormont,Long Sault Waste Water Treatment Plant,Long Sault,ON,45.0267,-74.8854,operational,3501,"Stormont, Dundas and Glengarry",611.252,560.125,479.871,535.594,684.745,537.9290000000001,582.28,thousand m3
25878,The Corporation of the Township of Manitouwadge,Manitouwadge Wastewater Lagoons,Manitouwadge,ON,49.1172,-85.8655,operational,3558,Thunder Bay,540.309,532.977,508.378,419.994,456.671,553.393,657.997,thousand m3
25941,Hamlet of Thorne,Thorne Wastewater Works,Thorne,ON,46.7007,-79.0986,operational,3548,Nipissing,,,,,,,,thousand m3
25947,Corporation of the Town of Kapuskasing,Kapuskasing Waste Water Pollution Control Plant,Kapuskasing,ON,49.4245,-82.4382,operational,3556,Cochrane,1575.35,2467.36,2189.516,2010.354,1638.727,1356.141,1507.534,thousand m3
25982,Township of Lucan Biddulph,Granton WWTP,Granton,ON,43.2078,-81.3002,operational,3539,Middlesex,41.500600000000006,33.166,32.604,35.181000000000004,34.425000000000004,39.286,42.302,thousand m3
26008,Biinjitiwaabik Zaaging Anishinaabek,Biinjitiwaabik Zaaging Anishinaabek Wastewater Treatment plant,MacDiarmid,ON,49.4369,-88.1292,operational,3558,Thunder Bay,,,,,,,,thousand m3
26010,Town of Amherstburg,Boblo Island Sewage Treatment Plant,Amherstburg,ON,42.0994,-83.118,operational,3537,Essex,,41.1161,50.1223,37.0548,35.665600000000005,44.184200000000004,40.4987,thousand m3
