,Address,Animal Units,Electricity incentive (USD/year),Manure generated (kg/year),Mass TP recovered (kg/year),NPV (USD),Net revenue (USD/year),Pcredits (USD/year),Phosphorus released generated (kg/year),Process capital cost (USD),Process operation cost (USD/year),Process operation cost amortized (USD/year),Profitable,Recommended,Struvite revenues (USD/year),Total incentives (USD/year),Total manure (lbs/yr) ,Total manure method 2 (lbs/yr),Type,latitude,longitude,node ,number,tech_selected
134,"W8659 Woodyard Road, Shell Lake, WI 54871",2100,0.0,29034023.55,18289.767638335044,-73844.84630798445,-164855.0622254847,0.0,23227.21884,1056176.5857912193,191800.46777044365,242094.59090335885,No,No,77239.52867787417,0.0,63637293.799341604,63821450.875888705,dairy ,45.688244399999896,-91.9782518,n135,135,MULTIFORM
135,"E3470 County Rd F, Kewaunee, WI 54216",790,0.0,10922323.145,6880.436397278422,-63247.504391724615,-93018.87375499938,0.0,8737.858516,1049140.9709612187,72116.55497376068,122075.64882905681,No,No,29056.77507405743,0.0,23939743.8578476,24008186.5592629,dairy ,44.458605,-87.594725,n136,136,MULTIFORM
136,"S3606 Sorenson Lane, Viroqua, WI 54665",546,0.0,7548846.123000001,4755.339585967112,-61360.261138816786,-79808.17098464453,0.0,6039.0768984,1049140.9709612187,49931.35458559569,99890.44844089182,No,No,20082.277456247284,0.0,16545696.387828799,16592586.182731101,dairy ,43.6043122,-91.0814918999999,n137,137,MULTIFORM
137,"W514 Weber Rd, Chilton, WI 53014",1614,0.0,22314720.957,14056.992842034646,-69874.80634505725,-137980.05418021162,0.0,17851.7767656,1053430.7707055672,147180.77904475073,197344.14907834918,No,No,59364.09489813756,0.0,48909805.8057797,49051033.7324688,dairy ,43.933457000000004,-88.1843739999999,n138,138,MULTIFORM
138,"N16743 Badger Ave, Dorchester, WI 54425",1843,0.0,25480812.0965,16051.448455929281,-71646.03054553224,-150378.62358353645,0.0,20384.649677200003,1053430.7707055672,168002.13514675808,218165.5051803565,No,No,67786.88159682007,0.0,55849301.1772317,56010757.0366728,dairy ,45.026309999999995,-90.3582110999999,n139,139,MULTIFORM
139,"2606 County Highway D, Woodville, WI 54028",1882,0.0,26020015.391000003,16391.11556921265,-71947.68008185764,-152490.1703378145,0.0,20816.0123128,1053430.7707055672,171548.13029076805,221711.5003243665,No,No,69221.329986552,0.0,57031136.6335052,57196037.4247251,dairy ,44.9752264,-92.2760196999999,n140,140,MULTIFORM
140,"B 4595 River Ave , Unity, WI 54488",4079,0.0,56395134.314500004,35525.696284175545,-123165.23206780315,-301764.4292108823,0.0,45116.1074516,1681176.5857912193,371736.99059084745,451793.0184856674,No,No,150028.5892747851,0.0,123607867.336912,123966832.61833301,dairy ,44.834921,-90.262512,n141,141,MULTIFORM
141,"N2357 State Road 73, Markesan, WI 53946",1402,0.0,19383667.151000004,12210.59725187892,-68235.07040400617,-126501.90259285414,0.0,15506.933720800003,1053430.7707055672,127905.11313372216,178068.4831673206,No,No,51566.58057446647,0.0,42485469.47937,42607971.110236205,dairy ,43.7150623,-89.0516202,n142,142,MULTIFORM
142,"1126 Front Street, Cashton, WI 54619",3166,0.0,43772246.933000006,27574.002068080365,-116103.53907638982,-252332.57827098895,0.0,35017.797546400005,1681176.5857912193,288724.3350400498,368780.3629348698,No,No,116447.7846638808,0.0,95940796.2708169,96219114.8159827,dairy ,43.7449956,-90.77675759999998,n143,143,MULTIFORM
143,"34452 Co. Hwy. O, Stanley, WI 54758",3075,0.0,42514105.9125,26781.445470419174,-115399.69015829712,-247405.6358443402,0.0,34011.28473,1681176.5857912193,280450.3463706931,360506.3742655131,No,No,113100.73842117291,0.0,93183180.2061788,93453460.5771942,dairy ,44.975280600000005,-91.0273383999999,n144,144,MULTIFORM
144,"N5853 Meadowlark Rd, Sheboygan Falls, WI 53085",1320,0.0,18249957.66,11496.425372667742,-67600.8329173732,-122062.2401864234,0.0,14599.966128,1053430.7707055672,120449.43103606014,170612.8010696586,No,No,48550.56088323519,0.0,40000584.6738719,40115843.1148444,dairy ,43.754160999999996,-87.8415765,n145,145,MULTIFORM
145,"5532 Commercial Rd, Lancaster, WI 53813",2008,0.0,27762056.804000005,17488.501627512753,-72922.24012229368,-159312.09062086657,0.0,22209.645443200003,1053430.7707055672,183004.42229449257,233167.792328091,No,No,73855.70170722445,0.0,60849374.2614657,61025404.83227839,dairy ,42.8663827,-90.69712890000001,n146,146,MULTIFORM
